target,mean,rolling_mean,random_walk,ar1,ar_aic,bridge_building_approvals,bridge_employment,bridge_goods_exports,bridge_hours_worked,bridge_unemployment_rate,bridge_average,bridge_avg_expanding,ridge,actual,vintage
1969Q4,1.2141883152574564,1.2141883152574564,1.6508258024306557,1.1151263199655443,0.5954120532357939,1.2141883152574564,1.2141883152574564,1.2141883152574564,1.2141883152574564,1.2141883152574564,1.2141883152574564,1.2141883152574564,1.2141883152574564,2.3061182259214164,1970-02-22
1970Q1,1.2408207521029189,1.248338636136436,2.3061182259214164,0.9965195475256724,1.5077306610157462,1.2408207521029189,1.2408207521029189,1.2408207521029189,1.2408207521029189,1.2408207521029189,1.2408207521029189,1.2408207521029189,1.2408207521029189,2.0735946302289365,1970-05-25
1970Q2,1.26064870158211,1.2874949892331558,2.0735946302289365,1.08778832265798,1.1078252361029421,1.26064870158211,1.26064870158211,1.26064870158211,1.26064870158211,1.26064870158211,1.26064870158211,1.26064870158211,1.26064870158211,2.028534523250358,1970-08-23
1970Q3,1.2785065113883483,1.2698985103323626,2.028534523250358,1.1268980285661827,1.1859097521672783,1.2785065113883483,1.2785065113883483,1.2785065113883483,1.2785065113883483,1.2785065113883483,1.2785065113883483,1.2785065113883483,1.2785065113883483,-0.2093223996547211,1970-11-22
1970Q4,1.244692217955551,1.2592949766711512,-0.2093223996547211,1.5786272624915108,1.3282741228485573,1.244692217955551,1.244692217955551,1.244692217955551,1.244692217955551,1.244692217955551,1.244692217955551,1.244692217955551,1.244692217955551,0.4361020406692173,1971-02-22
1971Q1,1.2267235473491882,1.2746978711351447,0.4361020406692173,1.3955064328145932,0.8872575308475976,1.2267235473491882,1.2267235473491882,1.2267235473491882,1.2267235473491882,1.2267235473491882,1.2267235473491882,1.2267235473491882,1.2267235473491882,1.2452093530652908,1971-05-25
1971Q2,1.2271254126908426,1.2983238931116474,1.2452093530652908,1.229818826064831,1.0288719784087692,1.2271254126908426,1.2271254126908426,1.2271254126908426,1.2271254126908426,1.2271254126908426,1.2271254126908426,1.2271254126908426,1.2271254126908426,0.43595687216893,1971-08-23
1971Q3,1.2102920394882486,1.33672491453853,0.43595687216893,1.3739997070171803,1.7412797660819377,1.2102920394882486,1.2102920394882486,1.2102920394882486,1.2102920394882486,1.2102920394882486,1.2102920394882486,1.2102920394882486,1.2102920394882486,3.118912509528249,1971-11-22
1971Q4,1.2500549659474152,1.4327280828604654,3.118912509528249,0.84680797827382,1.037333252384173,1.2500549659474152,1.2500549659474152,1.2500549659474152,1.2500549659474152,1.2500549659474152,1.2500549659474152,1.2500549659474152,1.2500549659474152,-0.3230597592109641,1972-02-22
1972Q1,1.2179505838013258,1.395948844500267,-0.3230597592109641,1.5988227440688263,1.8652276168155146,1.2179505838013258,1.2179505838013258,1.2179505838013258,1.2179505838013258,1.2179505838013258,1.2179505838013258,1.2179505838013258,1.2179505838013258,-1.1920538896251442,1972-05-24
1972Q2,1.1697504943327965,1.2962026432237403,-1.1920538896251442,1.6395751648385715,1.496053325291193,1.1697504943327965,1.1697504943327965,1.1697504943327965,1.1697504943327965,1.1697504943327965,1.1697504943327965,1.1697504943327965,1.1697504943327965,2.2266235796935208,1972-08-23
1972Q3,1.1904734960065362,1.3037556591423656,2.2266235796935208,0.976900046660907,0.37675268118292216,1.1904734960065362,1.1904734960065362,1.1904734960065362,1.1904734960065362,1.1904734960065362,1.1904734960065362,1.1904734960065362,1.1904734960065362,-0.503742377582439,1972-11-22
1972Q4,1.1578924215144406,1.2711550517654628,-0.503742377582439,1.5381775504284019,2.049303227860784,1.1578924215144406,1.1578924215144406,1.1578924215144406,1.1578924215144406,1.1578924215144406,1.1578924215144406,1.1578924215144406,1.1578924215144406,1.045381871848483,1973-02-22
1973Q1,1.1557695809547055,1.2524619734672273,1.045381871848483,1.1840040225192237,1.5814444724647945,1.1557695809547055,1.1557695809547055,1.1557695809547055,1.1557695809547055,1.1557695809547055,1.1557695809547055,1.1557695809547055,1.1557695809547055,2.596559558584865,1973-05-25
1973Q2,1.1824508768367454,1.2595172606382012,2.596559558584865,0.876414558610942,0.6231025193568348,1.1824508768367454,1.1824508768367454,1.1824508768367454,1.1824508768367454,1.1824508768367454,1.1824508768367454,1.1824508768367454,1.1824508768367454,0.1884952019403085,1973-08-23
1973Q3,1.1643789554749921,1.296524555794124,0.1884952019403085,1.391905961115061,1.9341108032014969,1.1643789554749921,1.1643789554749921,1.1643789554749921,1.1643789554749921,1.1643789554749921,1.1643789554749921,1.1643789554749921,1.1643789554749921,1.0012235715131546,1973-11-22
1973Q4,1.1614654664756736,1.218932255405673,1.0012235715131546,1.2015766647743513,1.1643712769123127,1.1614654664756736,1.1614654664756736,1.1614654664756736,1.1614654664756736,1.1614654664756736,1.1614654664756736,1.1614654664756736,1.1614654664756736,2.4964829095456498,1974-02-22
1974Q1,1.184886825126024,1.2280256065291573,2.4964829095456498,0.8913993872946273,0.539076534468867,1.184886825126024,1.184886825126024,1.184886825126024,1.184886825126024,1.184886825126024,1.184886825126024,1.184886825126024,1.184886825126024,0.0305015600277069,1974-05-25
1974Q2,1.1649836309001909,1.233095599747028,0.0305015600277069,1.438437469786642,1.7288563347912584,1.1649836309001909,1.1649836309001909,1.1649836309001909,1.1649836309001909,1.1649836309001909,1.1649836309001909,1.1649836309001909,1.1649836309001909,-2.029641017170958,1974-08-23
1974Q3,1.1108374504244087,1.1204733861989422,-2.029641017170958,1.7457375499962495,1.6856893985148889,1.1108374504244087,1.1108374504244087,1.1108374504244087,1.1108374504244087,1.1108374504244087,1.1108374504244087,1.1108374504244087,1.1108374504244087,1.182710637911577,1974-11-22
1974Q4,1.1120353368825282,1.1347365219287855,1.182710637911577,1.101786993295768,0.6412847937003318,1.1120353368825282,1.1120353368825282,1.1120353368825282,1.1120353368825282,1.1120353368825282,1.1120353368825282,1.1120353368825282,1.1120353368825282,0.115350601745634,1975-02-22
1975Q1,1.0956962428638906,1.066624898038986,0.115350601745634,1.2813931547822264,1.3612591807410397,1.0956962428638906,1.0956962428638906,1.0956962428638906,1.0956962428638906,1.0956962428638906,1.0956962428638906,1.0956962428638906,1.0956962428638906,0.3821386965037865,1975-05-25
1975Q2,1.084187250180663,1.054807511689628,0.3821386965037865,1.2124567680519007,1.7894730940913932,1.084187250180663,1.084187250180663,1.084187250180663,1.084187250180663,1.084187250180663,1.084187250180663,1.084187250180663,1.084187250180663,3.162801374798341,1975-08-23
1975Q3,1.1171811251745944,1.094735765833434,3.162801374798341,0.729915194518798,0.693595648106826,1.1171811251745944,1.1171811251745944,1.1171811251745944,1.1171811251745944,1.1171811251745944,1.1171811251745944,1.1171811251745944,1.1171811251745944,-1.1076565522953552,1975-11-22
1975Q4,1.0824180364641265,1.0745617180932308,-1.1076565522953552,1.568541358091412,1.7690716122391936,1.0824180364641265,1.0824180364641265,1.0824180364641265,1.0824180364641265,1.0824180364641265,1.0824180364641265,1.0824180364641265,1.0824180364641265,-1.5032095555374991,1976-02-22
1976Q1,1.0426391504333323,1.0308253717735605,-1.5032095555374991,1.4738049599992116,1.6997208131700006,1.0426391504333323,1.0426391504333323,1.0426391504333323,1.0426391504333323,1.0426391504333323,1.0426391504333323,1.0426391504333323,1.0426391504333323,4.430596626603878,1976-05-24
1976Q2,1.0939718394662192,1.1487309683739912,4.430596626603878,0.3481360445096534,-0.20816809593115448,1.0939718394662192,1.0939718394662192,1.0939718394662192,1.0939718394662192,1.0939718394662192,1.0939718394662192,1.0939718394662192,1.0939718394662192,0.2977492586651031,1976-08-23
1976Q3,1.0820879203497848,1.1220876968233942,0.2977492586651031,1.2609774728722705,1.2257715721704032,1.0820879203497848,1.0820879203497848,1.0820879203497848,1.0820879203497848,1.0820879203497848,1.0820879203497848,1.0820879203497848,1.0820879203497848,0.8124416871645224,1976-11-22
1976Q4,1.0781225345676486,1.0717506606302387,0.8124416871645224,1.1394017112150074,2.1182429618138894,1.0781225345676486,1.0781225345676486,1.0781225345676486,1.0781225345676486,1.0781225345676486,1.0781225345676486,1.0781225345676486,1.0781225345676486,0.8611830599943415,1977-02-22
1977Q1,1.0749784842115138,1.0767677783539888,0.8611830599943415,1.124498577331689,0.4270564754271362,1.0749784842115138,1.0749784842115138,1.0749784842115138,1.0749784842115138,1.0749784842115138,1.0749784842115138,1.0749784842115138,1.0749784842115138,-0.5380380380380356,1977-05-25
1977Q2,1.0519353910365201,0.9656429802411083,-0.5380380380380356,1.4031755962334482,1.4810487593866017,1.0519353910365201,1.0519353910365201,1.0519353910365201,1.0519353910365201,1.0519353910365201,1.0519353910365201,1.0519353910365201,1.0519353910365201,1.4167700040136788,1977-08-23
1977Q3,1.0570739067122548,1.004521862131525,1.4167700040136788,0.9796155928901971,1.0922131373181971,1.0570739067122548,1.0570739067122548,1.0570739067122548,1.0570739067122548,1.0570739067122548,1.0570739067122548,1.0570739067122548,1.0570739067122548,-0.4288397698678059,1977-11-22
1977Q4,1.0364362167597538,0.9469434092825285,-0.4288397698678059,1.3650155485560918,1.1478073148747872,1.0364362167597538,1.0364362167597538,1.0364362167597538,1.0364362167597538,1.0364362167597538,1.0364362167597538,1.0364362167597538,1.0364362167597538,-0.3126334772910688,1978-02-22
1978Q1,1.0179558099919344,0.9174105267293896,-0.3126334772910688,1.2946620847759827,1.6337389040783217,1.0179558099919344,1.0179558099919344,1.0179558099919344,1.0179558099919344,1.0179558099919344,1.0179558099919344,1.0179558099919344,1.0179558099919344,0.6968537440267486,1978-05-25
1978Q2,1.0136165928842966,0.9570660418191077,0.6968537440267486,1.0785931424685922,0.8101604803004253,1.0136165928842966,1.0136165928842966,1.0136165928842966,1.0136165928842966,1.0136165928842966,1.0136165928842966,1.0136165928842966,1.0136165928842966,0.8421388554003206,1978-08-23
1978Q3,1.011330223051177,0.8820335676305711,0.8421388554003206,1.046372185623313,1.1334300270717903,1.011330223051177,1.011330223051177,1.011330223051177,1.011330223051177,1.011330223051177,1.011330223051177,1.011330223051177,1.011330223051177,1.5201861261039618,1978-11-22
1978Q4,1.0180256954597664,0.8869904445626418,1.5201861261039618,0.9176739235398612,1.1499109324826635,1.0180256954597664,1.0180256954597664,1.0180256954597664,1.0180256954597664,1.0180256954597664,1.0180256954597664,1.0180256954597664,1.0180256954597664,0.8116330218032486,1979-02-22
1979Q1,1.0153452711265647,0.8139944812685798,0.8116330218032486,1.0575296208368505,1.0712914510621996,1.0153452711265647,1.0153452711265647,1.0153452711265647,1.0153452711265647,1.0153452711265647,1.0153452711265647,1.0153452711265647,1.0153452711265647,2.7519941364086757,1979-05-25
1979Q2,1.037610000168643,0.8998573633367947,2.7519941364086757,0.6884303403139678,0.8545435731580895,1.037610000168643,1.037610000168643,1.037610000168643,1.037610000168643,1.037610000168643,1.037610000168643,1.037610000168643,1.037610000168643,-1.61053927988275,1979-08-23
1979Q3,1.0040891232059672,0.8101583481350954,-1.61053927988275,1.604638333003908,1.351878435576677,1.0040891232059672,1.0040891232059672,1.0040891232059672,1.0040891232059672,1.0040891232059672,1.0040891232059672,1.0040891232059672,1.0040891232059672,0.9288995372494392,1979-11-22
