offset_days,model,sample,rmse,mae,bias,n
0,bridge_employment,full,1.0321343384978587,0.707778275021974,0.1331423595135088,226
0,bridge_average,full,1.0602525604252138,0.7109087737567054,0.15231928161114522,226
0,bridge_hours_worked,full,1.067181053364685,0.726874389718216,0.11881201422323083,226
0,rolling_mean,full,1.0785016594054362,0.7057235802404617,0.07317291509079242,226
0,bridge_goods_exports,full,1.079856889717188,0.7200468932359444,0.19207143181033956,226
0,ridge,full,1.079856889717188,0.7200468932359444,0.19207143181033956,226
0,bridge_building_approvals,full,1.079856889717188,0.7200468932359444,0.19207143181033956,226
0,mean,full,1.079856889717188,0.7200468932359444,0.19207143181033956,226
0,bridge_unemployment_rate,full,1.0808382982054257,0.7158300395728797,0.12549917069830738,226
0,ar1,full,1.0946897900942714,0.7354058128316875,0.2150539495134933,226
0,ar_aic,full,1.1132282177973303,0.756891196572914,0.20990764778887577,226
0,random_walk,full,1.5274228679614725,0.9674405260981702,0.0060906655953518905,226
0,bridge_average,pre-COVID,0.9186824932240775,0.6665797659438427,0.14256377447101368,201
0,bridge_employment,pre-COVID,0.9205541193956048,0.6714729450867492,0.11615789739086985,201
0,bridge_unemployment_rate,pre-COVID,0.9214116936389113,0.6712890149005141,0.12192753261523853,201
0,rolling_mean,pre-COVID,0.9227844005030753,0.6634258041842392,0.07576920363048463,201
0,bridge_hours_worked,pre-COVID,0.9237285022152448,0.6689064842473486,0.11690949782585186,201
0,bridge_goods_exports,pre-COVID,0.9242428889154308,0.6749837534467924,0.178911972261554,201
0,bridge_building_approvals,pre-COVID,0.9242428889154308,0.6749837534467924,0.178911972261554,201
0,mean,pre-COVID,0.9242428889154308,0.6749837534467924,0.178911972261554,201
0,ridge,pre-COVID,0.9242428889154308,0.6749837534467924,0.178911972261554,201
0,ar_aic,pre-COVID,0.9373958611339909,0.6936511461351047,0.20121350798566418,201
0,ar1,pre-COVID,0.9402929145365719,0.6893293576550192,0.2042969551570409,201
0,random_walk,pre-COVID,1.2848627786585014,0.910972804168088,0.005274236538297032,201
0,rolling_mean,1993-2019,0.5369012584133794,0.40091523469710494,0.01950004781931934,108
0,ar1,1993-2019,0.5448613517148022,0.41840927296755825,0.11383312240557052,108
0,mean,1993-2019,0.5456543844819367,0.4213455310438163,0.10770820790453407,108
0,bridge_building_approvals,1993-2019,0.5456543844819367,0.4213455310438163,0.10770820790453407,108
0,bridge_goods_exports,1993-2019,0.5456543844819367,0.4213455310438163,0.10770820790453407,108
0,ridge,1993-2019,0.5456543844819367,0.4213455310438163,0.10770820790453407,108
0,bridge_average,1993-2019,0.5513195758465445,0.4210555511484414,0.06449144295884862,108
0,ar_aic,1993-2019,0.5570133582217447,0.43821188821758006,0.10755857885582508,108
0,bridge_hours_worked,1993-2019,0.5607516212122042,0.41973903942589025,0.023935848557451605,108
0,bridge_unemployment_rate,1993-2019,0.5658765575732124,0.43201921976769037,0.04705262043438203,108
0,bridge_employment,1993-2019,0.5719653808135831,0.43545011857251115,0.03605232999334141,108
0,random_walk,1993-2019,0.8015973118255058,0.5915011701302987,0.013921559792224794,108
30,bridge_employment,full,0.9567439469728567,0.6841940124404579,0.14264181112156904,226
30,bridge_hours_worked,full,0.9810422131321338,0.6896374525840201,0.15284294493097003,226
30,bridge_average,full,1.012238813674727,0.6925103136805218,0.13272133413148846,226
30,bridge_unemployment_rate,full,1.0213123838128304,0.7049819188527776,0.14982255204963982,226
30,ridge,full,1.0437895548647873,0.7317619247694586,0.16599030655784028,226
30,rolling_mean,full,1.0785016594054362,0.7057235802404617,0.07317291509079242,226
30,mean,full,1.079856889717188,0.7200468932359444,0.19207143181033956,226
30,bridge_goods_exports,full,1.0923530601071008,0.7162687660606462,0.06501884751476282,226
